player_name,Total Runs Scored,Total Wickets Taken,auction_player_name,Unnamed: 0,Players,Base Price,TYPE,COST IN ₹ (CR.),Cost IN $ (000),2023 Squad,Team,Sold Price (Rs),Cost Per Run,Cost Per Wicket,Runs Per Crore,Wickets Per Crore,Total Contributions,Contribution Per Crore
A Kamboj,2,0.0,Anshul Kamboj,156.0,Anshul Kamboj,2000000,ALL-ROUNDER,0.2,24.0,Not Mentioned,Mumbai Indians,2000000.0,1000000.0,,10.0,0.0,2.0,10.0
A Raghuvanshi,163,7.0,Angkrish Raghuvanshi,82.0,Angkrish Raghuvanshi,2000000,BATTER,0.2,24.0,Not Mentioned,Kolkata Night Riders,2000000.0,12269.938650306749,285714.28571428574,815.0,35.0,303.0,1515.0
AA Kulkarni,9,2.0,Arshin Kulkarni,131.0,Arshin Kulkarni,2000000,ALL-ROUNDER,0.2,24.0,Not Mentioned,Lucknow Super Giants,2000000.0,222222.22222222222,1000000.0,45.0,10.0,49.0,245.0
AJ Turner,21,2.0,Ashton Turner,129.0,Ashton Turner,10000000,BATTER,1.0,120.0,Not Mentioned,Lucknow Super Giants,10000000.0,476190.4761904762,5000000.0,21.0,2.0,61.0,61.0
Arshad Khan,78,1.0,Mohd. Arshad Khan,130.0,Mohd. Arshad Khan,2000000,ALL-ROUNDER,0.2,24.0,MI,Lucknow Super Giants,2000000.0,25641.02564102564,2000000.0,390.0,5.0,98.0,490.0
Arshad Khan (2),5,1.0,Mohd. Arshad Khan,130.0,Mohd. Arshad Khan,2000000,ALL-ROUNDER,0.2,24.0,MI,Lucknow Super Giants,2000000.0,400000.0,2000000.0,25.0,5.0,25.0,125.0
Ashutosh Sharma,189,7.0,Ashutosh Sharma,101.0,Ashutosh Sharma,2000000,ALL-ROUNDER,0.2,24.0,Not Mentioned,Punjab Kings,2000000.0,10582.010582010582,285714.28571428574,945.0,35.0,329.0,1645.0
Azmatullah Omarzai,42,4.0,Azmatullah Omarzai,6.0,Azmatullah Omarzai,5000000,ALL-ROUNDER,0.5,60.0,Not Mentioned,Gujrat Titans,5000000.0,119047.61904761905,1250000.0,84.0,8.0,122.0,244.0
DJ Mitchell,318,11.0,Daryl Mitchell,25.0,Daryl Mitchell,10000000,ALL-ROUNDER,14.0,1680.0,Not Mentioned,Chennai Super Kings,140000000.0,440251.57232704404,12727272.727272727,22.714285714285715,0.7857142857142857,538.0,38.42857142857143
G Coetzee,14,4.0,Gerald Coetzee,151.0,Gerald Coetzee,20000000,ALL-ROUNDER,5.0,600.0,Not Mentioned,Mumbai Indians,50000000.0,3571428.5714285714,12500000.0,2.8,0.8,94.0,18.8
HV Patel,13,3.0,Harshal Patel,98.0,Harshal Patel,20000000,ALL-ROUNDER,11.75,1410.0,RCB,Punjab Kings,117500000.0,9038461.538461538,39166666.666666664,1.1063829787234043,0.2553191489361702,73.0,6.212765957446808
